C_SKU_Nbr,C_Short_Week,C_d_Market,C_d_Market_Nbr,C_d_Store,C_d_Store_Nbr,C_sku1,C_year1_1,C_Sales_Units,C_Sales_Units_LY,C_sales,C_sales_ly
1003912161,FW 202103,0039-BOSTON/MA/NH,0039,2605-SOMERSET,2605,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,22.63,
1005945472,FW 202052,0020-LONG ISLAND,0020,1282-SHIRLEY,1282,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,10.0,,288.7,
1003912161,FW 202051,0164-MILWAUKEE,0164,4902-WEST ALLIS,4902,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,9.0,,169.82999999999998,
1005945472,FW 202051,0164-MILWAUKEE,0164,4902-WEST ALLIS,4902,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,8.0,,230.96,
1003912161,FW 202050,0164-MILWAUKEE,0164,4940-MENOMONEE FALLS,4940,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,10.0,,188.7,
1003912161,FW 202103,0164-MILWAUKEE,0164,4902-WEST ALLIS,4902,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,20.75,
1003912161,FW 202052,0039-BOSTON/MA/NH,0039,2613-WAREHAM,2613,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,1.0,,18.87,
1003912161,FW 202051,0164-MILWAUKEE,0164,4940-MENOMONEE FALLS,4940,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,1.0,,18.87,
1003912161,FW 202102,0019-NASHVILLE,0019,"0734-FRANKLIN,TN",0734,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,0.0,,0.0,
1003912161,FW 202051,0089-BIRMINGHAM,0089,"0810-JASPER,AL",0810,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,3.0,,52.83,
1003912161,FW 202101,0019-NASHVILLE,0019,"0726-CLARKSVILLE, TN",0726,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,1.0,,18.87,
1003912161,FW 202052,0019-NASHVILLE,0019,"0735-HENDERSONVILLE,TN",0735,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,3.0,,56.61,
1005945472,FW 202103,0019-NASHVILLE,0019,0707-MURFREESBORO,0707,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,5.0,,144.35,
1005945472,FW 202102,0020-LONG ISLAND,0020,8466-SYOSSET,8466,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,-2.0,,-57.74,
1003912161,FW 202049,0020-LONG ISLAND,0020,1274-HEMPSTEAD,1274,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,5.0,,94.35000000000001,
1005945472,FW 202046,0039-BOSTON/MA/NH,0039,4279-COVENTRY,4279,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,22.0,,496.31999999999994,
1005945472,FW 202103,0164-MILWAUKEE,0164,4931-WAUSAU,4931,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,9.0,,259.83,
1005945472,FW 202052,0020-LONG ISLAND,0020,6105-LEVITTOWN (RELO #1201),6105,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,2.0,,57.74000000000001,
1003912161,FW 202101,0164-MILWAUKEE,0164,4920-W GREEN BAY,4920,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,3.0,,56.61,
1005945472,FW 202050,0020-LONG ISLAND,0020,1222-RIVERHEAD,1222,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,10.0,,288.7,
1003912161,FW 202050,0039-BOSTON/MA/NH,0039,4283-N KINGSTOWN,4283,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,2.0,,37.74,
1005945472,FW 202052,0164-MILWAUKEE,0164,4928-E APPLETON,4928,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,2.0,,17.32,
1003912161,FW 202052,0101-MINNESOTA,0101,2825-CHASKA,2825,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,2.0,,37.74,
1003912161,FW 202101,0164-MILWAUKEE,0164,4915-BELLEVUE (E GREEN BAY),4915,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,3.0,,56.61,
1005945472,FW 202052,0101-MINNESOTA,0101,2833-APPLE VALLEY,2833,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,14.0,,334.90000000000003,
1005945472,FW 202102,0020-LONG ISLAND,0020,1208-ELMONT,1208,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,11.0,,317.57,
1003912161,FW 202101,0164-MILWAUKEE,0164,4909-WEST MADISON,4909,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,5.0,,94.35000000000001,
1005945472,FW 202103,0101-MINNESOTA,0101,"2826-ROCHESTER,MN",2826,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,5.0,,144.35,
1005945472,FW 202103,0039-BOSTON/MA/NH,0039,2650-ROCKLAND,2650,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,5.0,,144.35,
1003912161,FW 202052,0164-MILWAUKEE,0164,4906-EAST MADISON,4906,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,5.0,,94.35000000000001,
1003912161,FW 202052,0101-MINNESOTA,0101,4905-LA CROSSE,4905,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,6.0,,113.22000000000001,
1005945472,FW 202103,0101-MINNESOTA,0101,2801-MAPLEWOOD,2801,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,8.0,,230.96,
1003912161,FW 202052,0039-BOSTON/MA/NH,0039,"2680-PLYMOUTH,MA",2680,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2020,8.0,,150.96,
1003912161,FW 202103,0101-MINNESOTA,0101,2809-BURNSVILLE,2809,1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK,2021,12.0,,224.15000000000003,
1005945472,FW 202051,0164-MILWAUKEE,0164,4911-JANESVILLE,4911,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2020,1.0,,28.87,
1005945472,FW 202102,0101-MINNESOTA,0101,"2826-ROCHESTER,MN",2826,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,1.0,,28.87,
1005945472,FW 202103,0101-MINNESOTA,0101,2804-BROOKLYN PARK,2804,1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK,2021,1.0,,28.87,
