C_Class_Name,C_Model_Number,C_SKU_Name,C_SKU_Nbr,C_Sub_Class_2,C_Sub_Class_Nbr,C_dept_2,C_Sales_Units,C_Str_OH_units_wkly
GYPSUM,UNKNOWN,NATL QUICK SET LITE 20 MIN 18 LB BAG,335079,022-012-003-JOINT TREATMENT,022-012-003,22-BUILDING MATERIALS,,
FENCING,397408,"6'X8' WR CEDAR 4"" DE FENCE PANEL",1005273518,021-008-009-WRC PANELS,021-008-009,21-LUMBER,5394.0,1318.0
LANDSCAPE,41805,1.5 FT. PINE GRADE STAKE (50-PACK),1000340475,021-007-004-STAKES,021-007-004,21-LUMBER,327.0,0.0
FENCING,236744,DIS 3-1/2'X8' CEDAR FT PRIVACY PANEL,1001650930,021-008-018-EVENTS,021-008-018,21-LUMBER,25.0,0.0
LANDSCAPE,UNKNOWN,"1/4"" 4'X8' REDWOOD GARDEN LATTICE",790397,021-007-002-LATTICE,021-007-002,21-LUMBER,23176.0,
LANDSCAPE,UNKNOWN,2X4-8FT CEDAR MOULDED HANDRAIL,725703,021-007-006-SPECIALTY,021-007-006,21-LUMBER,,
PRESSURE TREATED/DECKING,239773,2X6-12FT #1 PRIME PT GC,1002363900,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,4079.0,107.0
DIMENSIONAL LUMBER,157238,PORTABLE WORKBENCH AND TOOLBOX COMBO,1000338934,021-003-063-S/O KITS & HARDWARE,021-003-063,21-LUMBER,,0.0
FENCING,144769,PRO SERIES 7-1/6 FT. X 4 IN. X 4 IN.,1000342000,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,410.0,0.0
BOARDS,199197,"3/8"" 4'X8' PVC WHITE PANEL",1000333790,021-005-018-PRIMED PVC,021-005-018,21-LUMBER,23280.0,1131.0
FENCING,128009,DIS 6'X6' SOMERSET PRIVACY PANEL,1001651321,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,29.0,1.0
PRESSURE TREATED/DECKING,UNKNOWN,1X4-16FT PT GC WEATHERSHIELD,1001787386,021-020-006-PT BOARDS,021-020-006,21-LUMBER,19016.0,508.0
LANDSCAPE,UNKNOWN,"3/4"" 4'X8' PREM PT SPF LATTICE",430297,021-007-002-LATTICE,021-007-002,21-LUMBER,624493.5,27897.0
LANDSCAPE,UNKNOWN,2'X8' PREM HEAVY DUTY PT LATTICE,369094,021-007-002-LATTICE,021-007-002,21-LUMBER,172038.0,8455.0
LAWN ACCESSORIES,352775,"36"" LADDER TRELLIS",1003933833,028-023-005-TRELLIS/SHEP HOOKS/ARBOR,028-023-005,28-SEASONAL/GARDEN,19559.0,1893.0
PRESSURE TREATED/DECKING,107216,4X4-6FT #2 RED PT GC,1001387070,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,186851.0,3713.0
FENCING,153569,PRO SERIES 6 FT. X 8 FT. VINYL ANAHE,1000345168,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,49.0,0.0
LANDSCAPE,144329,5 IN. X 5 IN. VINYL CHESTNUT STYLEPO,1000244210,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,14.0,0.0
FENCING,245918,4 IN. X 4 IN. X 6 FT. WESTERN RED CE,1001753883,021-008-012-POST/RAIL,021-008-012,21-LUMBER,3948.0,
LAWN ACCESSORIES,175037,4 FT. X 4 FT. VINYL RAISED GARDEN BE,1000997336,028-023-008-LAWN DECOR,028-023-008,28-SEASONAL/GARDEN,65.0,
FENCING,UNKNOWN,DIS 6'X6' MANCHESTER SPACED PKT,1001194241,021-008-018-EVENTS,021-008-018,21-LUMBER,0.0,
BOARDS,350761,1 IN. X 8 IN. X 4 FT. BARN WOOD SHIP,1003570160,021-005-010-HARDWOOD,021-005-010,21-LUMBER,1118.0,
FENCING,153793,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000345081,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,26.0,
HARDSCAPES,430926,1 IN. X 12 IN. X 12 IN. SQUARE POLYP,1005895227,028-028-014-STEP STONES,028-028-014,28-SEASONAL/GARDEN,3.0,
OUTDOOR RECREATION,UNKNOWN,TAKE-AND-PLAY CORNHOLE TOSS GAME SET,1002337743,028-005-009-GAMES/ACTIVITIES,028-005-009,28-SEASONAL/GARDEN,1.0,
FENCING,245385,2 IN. X 4 IN. X 8 FT. WESTERN RED CE,1001753860,021-008-012-POST/RAIL,021-008-012,21-LUMBER,4873.0,
PRESSURE TREATED/DECKING,142285,5 IN. X 5 IN. BRONZE COMPOSITE TRADI,1002152341,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,18.0,
LANDSCAPE,82973,0.75 IN. X 2 IN. X 8 FT. FOREST GREE,1000340100,021-007-002-LATTICE,021-007-002,21-LUMBER,804.0,
FENCING,125956,BLACK VINYL FENCE MAGNA LATCH,1000342488,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,128.0,
HARDSCAPES,288238,12 IN. X 12 IN. TULIP STEPPING STONE,1002585199,028-028-007-PAVERS,028-028-007,28-SEASONAL/GARDEN,494.0,
BOARDS,334180,1 IN. X 6 IN. X 4 FT. LAVA RED CHARR,1003364078,021-005-010-HARDWOOD,021-005-010,21-LUMBER,0.0,
LANDSCAPE,UNKNOWN,4X8 VERANDA DRIFTWOOD GRAY LATTICE,377344,021-007-002-LATTICE,021-007-002,21-LUMBER,,
