C_Merch_Vendor_Nbr,C_SKU_Nbr,C_d_Store,C_d_Store_Nbr,C_sku1,C_Sales_Units,C_sales
21376,1002275150,"0727-JACKSON, TN",0727,1002275150-2X4-4FT PREM SYP GC PT WSHLD,207.0,846.5800000000005
769444,1002275150,6974-JACKSONVILLE BEACH,6974,1002275150-2X4-4FT PREM SYP GC PT WSHLD,817.0,3245.489999999998
769444,1002275150,0257-ST PETE,0257,1002275150-2X4-4FT PREM SYP GC PT WSHLD,1110.0,4326.080000000001
769444,1002275150,4648-EAST MANASSAS,4648,1002275150-2X4-4FT PREM SYP GC PT WSHLD,307.0,1198.04
769444,1002275150,1271-SOUTHEAST/BREWSTER,1271,1002275150-2X4-4FT PREM SYP GC PT WSHLD,-4.0,-14.28
68662,1002275150,"6234-MONTVILLE,CT",6234,1002275150-2X4-4FT PREM SYP GC PT WSHLD,472.0,1632.6900000000003
769444,1002275150,1267-FARMINGDALE,1267,1002275150-2X4-4FT PREM SYP GC PT WSHLD,509.0,2169.809999999997
769444,1002275150,0931-PHILLIPSBURG,0931,1002275150-2X4-4FT PREM SYP GC PT WSHLD,188.0,712.6800000000002
21376,1002275150,0720-MADISON,0720,1002275150-2X4-4FT PREM SYP GC PT WSHLD,270.0,1082.3300000000006
769444,1002275150,0280-NAPLES,0280,1002275150-2X4-4FT PREM SYP GC PT WSHLD,355.0,1318.18
769444,1002275150,0598-FOREST LANE,0598,1002275150-2X4-4FT PREM SYP GC PT WSHLD,56.0,215.73000000000008
769444,1002275150,6203-BERLIN,6203,1002275150-2X4-4FT PREM SYP GC PT WSHLD,437.0,1696.8199999999977
769444,1002275150,"2688-EVERETT,MA",2688,1002275150-2X4-4FT PREM SYP GC PT WSHLD,695.0,2645.820000000002
769444,1002275150,6316-LAKE WORTH II,6316,1002275150-2X4-4FT PREM SYP GC PT WSHLD,329.0,1324.4899999999998
769444,1002275150,6520-CLEBURNE,6520,1002275150-2X4-4FT PREM SYP GC PT WSHLD,151.0,581.5
68662,1002275150,"6202-ORANGE, CT",6202,1002275150-2X4-4FT PREM SYP GC PT WSHLD,204.0,758.6899999999997
21376,1002275150,0704-CORDOVA,0704,1002275150-2X4-4FT PREM SYP GC PT WSHLD,534.0,2211.1599999999994
769444,1002275150,0577-BRINKMAN,0577,1002275150-2X4-4FT PREM SYP GC PT WSHLD,540.0,2010.8899999999994
769444,1002275150,3608-WENDOVER,3608,1002275150-2X4-4FT PREM SYP GC PT WSHLD,789.0,2730.34
68662,1002275150,1263-N GREENBUSH,1263,1002275150-2X4-4FT PREM SYP GC PT WSHLD,622.0,2538.1800000000003
769444,1002275150,6534-E FT WORTH,6534,1002275150-2X4-4FT PREM SYP GC PT WSHLD,216.0,936.0400000000002
21376,1002275150,4109-CHELTENHAM,4109,1002275150-2X4-4FT PREM SYP GC PT WSHLD,193.0,772.7799999999999
769444,1002275150,1411-BATESVILLE,1411,1002275150-2X4-4FT PREM SYP GC PT WSHLD,160.0,617.35
769444,1002275150,6220-GLASTONBURY,6220,1002275150-2X4-4FT PREM SYP GC PT WSHLD,1282.0,4830.109999999999
769444,1002275150,2589-S ANNAPOLIS,2589,1002275150-2X4-4FT PREM SYP GC PT WSHLD,507.0,1791.6600000000005
68662,1002275150,6158-MILL BASIN,6158,1002275150-2X4-4FT PREM SYP GC PT WSHLD,,
