C_Class_Nbr,C_Short_Week,C_Sales_Units,C_Str_OH_units_dly,C_sales
022-012,FW 202040,3545.0,,44404.16000000003
021-006,FW 201819,1173.0,,7960.050000000001
025-001,FW 201801,9.0,,674.91
021-006,FW 201938,822.0,,4782.96
021-008,FW 201816,955017.0,,3742401.010000002
021-008,FW 202032,831842.0,,3161187.6299999994
021-020,FW 202025,2155036.2,,22499748.16000005
021-005,FW 201945,264480.52999999997,,853833.8400000014
028-028,FW 201912,70.0,,5546.570000000004
021-003,FW 201825,46238.0,,211393.89999999997
025-001,FW 201936,,,
021-001,FW 202015,201103.0,,2235763.1000000043
021-007,FW 201831,529344.0,,2185035.2100000023
022-009,FW 202044,62201.0,,304374.05000000115
021-090,FW 201928,2.0,,125.00999999999999
021-007,FW 201913,620417.0,,2665594.739999999
021-002,FW 201913,1836.0,,36978.07
021-017,FW 202022,416.0,,1374.12
021-017,FW 201917,,,
021-005,FW 201810,289839.42,,841926.9199999993
021-008,FW 201850,611451.0,,1708622.9300000002
028-023,FW 201838,1447.0,,27371.489999999816
022-009,FW 201949,42954.0,,212671.89000000258
021-090,FW 201952,769.0,,2813.0
021-004,FW 201838,4467.0,,13396.03
021-020,FW 202043,1325190.0,,12343739.420000017
021-017,FW 202024,156.0,,2027.1599999999999
021-020,FW 201926,1937037.0,,14883370.250000024
021-007,FW 201820,699377.0,,2886712.7199999997
021-090,FW 201922,2.0,,10.759999999999991
021-013,FW 201816,-1.0,,-21.96
021-090,FW 201945,2.0,,300.0
022-012,FW 202013,1696.0,,23175.619999999963
021-020,FW 202031,2026589.3,,26132640.060000088
021-006,FW 202029,11562.0,,15802.680000000006
022-009,FW 202033,63125.0,,313269.73000000033
025-003,FW 201801,,,
021-018,FW 201803,,,
028-023,FW 201837,1199.0,,23325.709999999835
028-028,FW 201838,20.0,,1225.47
021-018,FW 202103,8.0,1895.0,959.84
021-017,FW 202052,490.0,1064.0,2898.18
021-008,FW 202103,127956.0,5670079.34,536495.6900000006
028-028,FW 201913,34.0,,2427.3399999999997
021-003,FW 202041,71553.0,,314828.87
021-003,FW 201802,21130.0,,149088.55
021-008,FW 201839,653676.0,,2235023.530000001
021-001,FW 201751,109318.0,,1284062.759999998
021-006,FW 201825,1028.0,,6678.769999999999
027-031,FW 201830,416.0,,7324.710000000005
021-006,FW 201937,808.0,,5054.820000000001
021-007,FW 201749,129791.5,,557938.62
022-012,FW 201834,4891.0,,50998.29000000002
021-006,FW 201931,834.0,,4718.110000000002
021-008,FW 202009,1102701.0,,3987351.8000000017
021-013,FW 201805,68.0,,86.37999999999998
021-004,FW 202022,7395.0,,35040.5
021-015,FW 202003,70.0,,5055.959999999998
025-001,FW 201844,4.0,,325.72
025-001,FW 201911,11.0,,909.4800000000002
022-013,FW 201824,,,
021-018,FW 201911,1.0,,106.17
021-017,FW 202019,0.0,,0.0
021-015,FW 201929,124.0,,8780.049999999997
021-005,FW 201853,245949.38,,768403.9300000004
025-001,FW 201919,,,
027-031,FW 201906,-11.0,,-185.97
021-001,FW 201823,119007.0,,1488674.6799999967
021-008,FW 202044,808560.8,,2666049.57
021-015,FW 201843,82.0,,5408.8099999999995
022-012,FW 202006,3660.0,,43911.95000000003
021-006,FW 201824,706.0,,4757.360000000001
028-028,FW 201850,43.0,,3264.8500000000004
021-008,FW 201833,556062.0,,2116204.2099999986
021-018,FW 202052,16.0,581.0,1875.6799999999998
022-009,FW 202051,52931.0,298511.0,273126.31000000157
022-012,FW 201950,2708.0,,32514.81999999997
021-018,FW 201804,1.0,,104.25
021-007,FW 201942,370165.0,,1445413.6700000004
021-003,FW 202038,81971.0,,400395.0399999999
021-005,FW 202025,385034.0,,1178590.970000002
021-015,FW 201836,141.0,,9312.660000000002
021-020,FW 202022,2585958.0,,25336624.380000062
021-006,FW 201922,995.0,,5260.469999999999
028-028,FW 202016,387.0,,21886.909999999978
028-026,FW 201929,638.0,,58552.58999999997
027-031,FW 202006,,,
021-007,FW 201814,682193.0,,2857999.1200000006
021-001,FW 201949,122814.0,,1308744.15
021-004,FW 201912,5262.0,,16264.150000000003
022-012,FW 201937,3350.0,,38278.409999999974
021-013,FW 201750,199.0,,1024.9799999999996
022-012,FW 202043,3570.0,,39881.09000000005
022-012,FW 202014,3394.0,,52163.57000000008
021-020,FW 201842,1162125.33,,8767763.459999999
021-005,FW 202013,409868.25,,1267297.5600000022
021-013,FW 201819,-76.0,,-437.49
028-023,FW 201912,6471.0,,117637.73999999909
028-028,FW 202009,110.0,,6108.819999999998
021-090,FW 201807,7.0,,675.0
021-017,FW 201814,,,
021-008,FW 202045,830390.0,,2644846.2099999995
022-010,FW 201952,105.0,,3409.92
025-001,FW 201902,3.0,,248.04000000000002
021-005,FW 201803,252896.21,,770055.0199999997
021-005,FW 201910,281647.32,,885259.8000000006
022-004,FW 201826,9.0,,8775.0
021-018,FW 201837,10.0,,3469.84
022-009,FW 202102,63739.0,272285.5,320260.779999999
021-003,FW 202101,66122.0,577350.0,363565.66000000125
021-002,FW 202102,396.0,18587.0,9505.16
027-031,FW 202019,,,
021-015,FW 201903,268.0,,17637.13
028-028,FW 201842,22.0,,1239.92
021-001,FW 201938,127299.0,,1359428.3799999994
021-015,FW 201810,166.0,,10018.250000000002
021-001,FW 201903,115055.0,,1330137.2199999983
021-020,FW 201939,1428622.2,,10644555.760000004
021-002,FW 201824,512.0,,7770.299999999999
022-010,FW 201843,220.0,,5562.519999999999
028-023,FW 202043,8711.0,,48260.83000000066
028-028,FW 201932,41.0,,3930.080000000001
022-004,FW 201822,-2.0,,-244.98
021-001,FW 201752,111895.5,,1323653.9699999965
027-031,FW 202037,,,
022-004,FW 201815,12.0,,253.61
021-018,FW 201932,,,
021-007,FW 201928,576839.0,,2400657.7799999993
021-003,FW 202035,74095.0,,363566.1000000001
027-031,FW 201801,16332.0,,290619.3300000079
021-020,FW 202008,1991224.0,,14790150.28000002
021-003,FW 201819,27029.0,,325304.8400000001
021-002,FW 201916,322.0,,3864.62
021-008,FW 201826,736395.0,,2765280.0600000005
021-007,FW 202006,422585.0,,1728455.8200000003
027-031,FW 201815,17126.0,,308650.12000000896
022-012,FW 201805,5382.0,,58655.770000000055
027-031,FW 201919,-8.0,,-90.82
021-090,FW 201845,1.0,,178.07999999999998
028-023,FW 201840,1268.0,,24105.259999999827
028-026,FW 201927,696.0,,64766.45999999998
021-007,FW 202007,449345.0,,1849744.8600000003
021-018,FW 201922,,,
022-009,FW 202052,42975.5,302425.5,216216.05000000223
028-023,FW 202101,7875.0,102107.0,79482.46000000108
021-020,FW 201945,1066618.5,,7548054.859999995
021-015,FW 201817,-33.0,,-1588.4699999999993
021-002,FW 201917,5988.0,,34720.64
028-023,FW 202035,15535.0,,108152.06999999889
022-012,FW 201951,2862.0,,34953.68
021-008,FW 201810,1053353.0,,3605476.61
025-001,FW 201923,,,
021-008,FW 202026,1011578.0,,3651133.3899999997
021-001,FW 201827,116211.0,,1429524.9099999967
022-010,FW 201842,157.0,,4012.109999999999
027-031,FW 201840,1448.0,,4076.309999999983
021-006,FW 201848,5974.0,,14383.279999999999
021-018,FW 202007,311.0,,30286.039999999997
028-028,FW 201937,41.0,,3156.41
021-018,FW 201851,,,
021-007,FW 201912,624884.0,,2763967.31
028-005,FW 202017,,,
028-028,FW 202014,541.0,,22965.959999999865
028-026,FW 201946,25.0,,692.61
027-031,FW 201817,17303.0,,308760.7300000092
022-012,FW 202016,2531.0,,31857.87999999996
022-009,FW 201929,52684.0,,272437.0900000025
027-031,FW 202007,,,
021-002,FW 202015,1109.0,,22482.91
021-018,FW 202032,482.0,,46028.02000000001
028-028,FW 202101,205.0,,14213.789999999995
021-008,FW 201905,750044.0,,2340867.5200000014
021-007,FW 202039,398991.0,,1811299.82
028-028,FW 201833,16.0,,1148.6299999999999
028-026,FW 201932,580.0,,43910.70999999998
021-007,FW 202019,1033575.0,,4622518.940000011
021-004,FW 202015,6864.0,,32770.060000000005
028-028,FW 202011,249.0,,12532.809999999998
021-018,FW 201750,1.0,,107.47
021-008,FW 201806,1053163.0,,3323407.1099999994
021-004,FW 202050,5749.0,62799.0,39349.36999999995
022-010,FW 202025,168.0,,4550.88
021-018,FW 201846,2.0,,207.95
022-012,FW 201816,4575.0,,49913.690000000046
028-023,FW 202014,24367.0,,301520.71999999945
021-018,FW 201912,2.0,,124.99000000000001
022-010,FW 202044,146.0,,4257.680000000001
022-012,FW 202010,551.0,,9304.609999999995
021-007,FW 201901,246439.0,,1025074.1600000003
021-003,FW 201833,38095.0,,152102.18999999994
021-004,FW 201844,3170.0,,10500.55
022-009,FW 201939,52403.0,,266837.20000000333
021-004,FW 201933,4562.0,,22577.41
021-020,FW 201851,1007908.0800000001,,7169532.079999992
022-014,FW 201820,,,
021-002,FW 201838,504.0,,8287.23
