"SKU Nbr","SKU","Store","Store Nbr","Market","Market Nbr","Year","Short Week","Sales Units","Sales Units LY","Sales $","Sales $ LY"
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0888-S HUNTSVILLE","0888","0089-BIRMINGHAM","0089","2020","FW 202049","1","","$18.87",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","0775-SPRING HILL,TN","0775","0019-NASHVILLE","0019","2021","FW 202102","1","","$28.87",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","0804-N HUNTSVILLE","0804","0089-BIRMINGHAM","0089","2020","FW 202052","2","","$57.74",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2674-WALTHAM","2674","0039-BOSTON/MA/NH","0039","2021","FW 202102","21","","$606.27",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2840-MONTICELLO","2840","0101-MINNESOTA","0101","2020","FW 202052","4","","$75.48",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4902-WEST ALLIS","4902","0164-MILWAUKEE","0164","2020","FW 202051","9","","$169.83",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4920-W GREEN BAY","4920","0164-MILWAUKEE","0164","2021","FW 202101","3","","$56.61",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","8466-SYOSSET","8466","0020-LONG ISLAND","0020","2021","FW 202101","2","","$37.74",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","8466-SYOSSET","8466","0020-LONG ISLAND","0020","2020","FW 202051","2","","$37.74",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4940-MENOMONEE FALLS","4940","0164-MILWAUKEE","0164","2020","FW 202051","1","","$18.87",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","4920-W GREEN BAY","4920","0164-MILWAUKEE","0164","2021","FW 202102","1","","$28.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","6105-LEVITTOWN (RELO #1201)","6105","0020-LONG ISLAND","0020","2020","FW 202049","0","","$0.00",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","1222-RIVERHEAD","1222","0020-LONG ISLAND","0020","2021","FW 202101","51","","$1,472.37",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1282-SHIRLEY","1282","0020-LONG ISLAND","0020","2020","FW 202051","3","","$56.61",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1282-SHIRLEY","1282","0020-LONG ISLAND","0020","2020","FW 202052","2","","$37.74",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2650-ROCKLAND","2650","0039-BOSTON/MA/NH","0039","2021","FW 202102","2","","$37.74",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","1229-CORAM","1229","0020-LONG ISLAND","0020","2020","FW 202050","2","","$57.74",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1222-RIVERHEAD","1222","0020-LONG ISLAND","0020","2021","FW 202102","3","","$56.61",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1282-SHIRLEY","1282","0020-LONG ISLAND","0020","2020","FW 202050","8","","$149.07",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1206-FREEPORT","1206","0020-LONG ISLAND","0020","2020","FW 202052","8","","$150.96",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0805-PELHAM","0805","0089-BIRMINGHAM","0089","2021","FW 202101","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0721-ANTIOCH","0721","0019-NASHVILLE","0019","2020","FW 202052","1","","$18.87",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","0805-PELHAM","0805","0089-BIRMINGHAM","0089","2021","FW 202102","5","","$144.35",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","0772-PULASKI","0772","0019-NASHVILLE","0019","2020","FW 202051","2","","$17.32",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2680-PLYMOUTH,MA","2680","0039-BOSTON/MA/NH","0039","2020","FW 202052","9","","$246.84",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2821-ELK RIVER","2821","0101-MINNESOTA","0101","2021","FW 202102","(2)","","($37.74)",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","4906-EAST MADISON","4906","0164-MILWAUKEE","0164","2021","FW 202101","2","","$57.74",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2669-NATICK","2669","0039-BOSTON/MA/NH","0039","2020","FW 202049","2","","$37.74",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2676-LEOMINSTER","2676","0039-BOSTON/MA/NH","0039","2021","FW 202101","4","","$90.62",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4287-MIDDLETOWN","4287","0039-BOSTON/MA/NH","0039","2020","FW 202050","5","","$20.05",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2676-LEOMINSTER","2676","0039-BOSTON/MA/NH","0039","2020","FW 202050","7","","$28.07",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2681-NORWOOD","2681","0039-BOSTON/MA/NH","0039","2020","FW 202052","7","","$202.09",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2680-PLYMOUTH,MA","2680","0039-BOSTON/MA/NH","0039","2020","FW 202052","8","","$150.96",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","4902-WEST ALLIS","4902","0164-MILWAUKEE","0164","2020","FW 202051","8","","$230.96",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","8466-SYOSSET","8466","0020-LONG ISLAND","0020","2020","FW 202049","8","","$230.96",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2808-PLYMOUTH","2808","0101-MINNESOTA","0101","2021","FW 202101","11","","$207.57",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","6105-LEVITTOWN (RELO #1201)","6105","0020-LONG ISLAND","0020","2020","FW 202051","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1208-ELMONT","1208","0020-LONG ISLAND","0020","2020","FW 202052","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1229-CORAM","1229","0020-LONG ISLAND","0020","2020","FW 202048","14","","$264.18",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","1222-RIVERHEAD","1222","0020-LONG ISLAND","0020","2020","FW 202050","10","","$288.70",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2651-BELLINGHAM","2651","0039-BOSTON/MA/NH","0039","2020","FW 202052","5","","$94.35",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0722-BELLEVUE","0722","0019-NASHVILLE","0019","2020","FW 202050","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0804-N HUNTSVILLE","0804","0089-BIRMINGHAM","0089","2020","FW 202049","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0775-SPRING HILL,TN","0775","0019-NASHVILLE","0019","2020","FW 202050","4","","$75.48",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0745-LEBANON,TN","0745","0019-NASHVILLE","0019","2021","FW 202101","3","","$56.61",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","0734-FRANKLIN,TN","0734","0019-NASHVILLE","0019","2020","FW 202052","1","","$28.87",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","0721-ANTIOCH","0721","0019-NASHVILLE","0019","2020","FW 202050","1","","$28.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1229-CORAM","1229","0020-LONG ISLAND","0020","2020","FW 202047","2","","$37.74",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2821-ELK RIVER","2821","0101-MINNESOTA","0101","2021","FW 202101","2","","$37.74",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4902-WEST ALLIS","4902","0164-MILWAUKEE","0164","2020","FW 202050","2","","$37.74",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","4923-WAUWATOSA","4923","0164-MILWAUKEE","0164","2020","FW 202050","5","","$144.35",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","8465-RACEWAY","8465","0020-LONG ISLAND","0020","2020","FW 202049","5","","$94.35",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","4279-COVENTRY","4279","0039-BOSTON/MA/NH","0039","2021","FW 202101","8","","$180.48",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","6105-LEVITTOWN (RELO #1201)","6105","0020-LONG ISLAND","0020","2020","FW 202051","1","","$28.87",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2659-S ATTLEBORO","2659","0039-BOSTON/MA/NH","0039","2020","FW 202051","7","","$187.09",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1208-ELMONT","1208","0020-LONG ISLAND","0020","2020","FW 202050","2","","$37.74",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","1218-COPIAGUE","1218","0020-LONG ISLAND","0020","2020","FW 202052","5","","$144.35",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","1218-COPIAGUE","1218","0020-LONG ISLAND","0020","2021","FW 202101","8","","$230.96",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1213-JERICHO","1213","0020-LONG ISLAND","0020","2020","FW 202051","2","","$37.74",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","8979-CHELSEA,MA","8979","0039-BOSTON/MA/NH","0039","2021","FW 202101","(1)","","($25.99)",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","0804-N HUNTSVILLE","0804","0089-BIRMINGHAM","0089","2020","FW 202049","5","","$144.35",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","0818-PELL CITY","0818","0089-BIRMINGHAM","0089","2020","FW 202051","22","","$635.14",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2667-SOMERVILLE","2667","0039-BOSTON/MA/NH","0039","2021","FW 202101","12","","$311.80",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2825-CHASKA","2825","0101-MINNESOTA","0101","2021","FW 202101","23","","$664.01",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4903-GRAND CHUTE","4903","0164-MILWAUKEE","0164","2020","FW 202052","10","","$188.70",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","2807-MINNEAPOLIS NE","2807","0101-MINNESOTA","0101","2020","FW 202052","3","","$56.61",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4909-WEST MADISON","4909","0164-MILWAUKEE","0164","2021","FW 202101","5","","$94.35",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","4923-WAUWATOSA","4923","0164-MILWAUKEE","0164","2020","FW 202051","6","","$113.22",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2820-FOREST LAKE","2820","0101-MINNESOTA","0101","2021","FW 202101","12","","$346.44",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","4287-MIDDLETOWN","4287","0039-BOSTON/MA/NH","0039","2020","FW 202050","12","","$48.12",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","8465-RACEWAY","8465","0020-LONG ISLAND","0020","2020","FW 202052","0","","$0.00",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","1222-RIVERHEAD","1222","0020-LONG ISLAND","0020","2020","FW 202051","31","","$894.97",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","2613-WAREHAM","2613","0039-BOSTON/MA/NH","0039","2020","FW 202051","6","","$173.22",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","1222-RIVERHEAD","1222","0020-LONG ISLAND","0020","2020","FW 202050","1","","$18.87",""
"1005945472","1005945472-1X6-8' TIMELESS WHITE SHLAP 2 PACK","1213-JERICHO","1213","0020-LONG ISLAND","0020","2020","FW 202049","1","","$28.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0707-MURFREESBORO","0707","0019-NASHVILLE","0019","2020","FW 202051","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0775-SPRING HILL,TN","0775","0019-NASHVILLE","0019","2021","FW 202101","1","","$18.87",""
"1003912161","1003912161-1X4-8' TIMELESS WHITE TRIM 2 PACK","0810-JASPER,AL","0810","0089-BIRMINGHAM","0089","2020","FW 202050","1","","$18.87",""
