Class,Manuf_Part_Number_Plus,SKU_Nbr,Short_Week,SKU,Sales_Units,Sales_Dollars
021-008-FENCING,141568,249148,FW 201913,249148-6'X8' DOVER PRIVACY PANEL,1566,115712.06000000001
021-008-FENCING,141568,249148,FW 201847,249148-6'X8' DOVER PRIVACY PANEL,44,3345.2500000000005
021-008-FENCING,141568,249148,FW 201948,249148-6'X8' DOVER PRIVACY PANEL,214,15776.619999999997
021-008-FENCING,141568,249148,FW 201842,249148-6'X8' DOVER PRIVACY PANEL,129,10233.719999999998
021-008-FENCING,141568,249148,FW 202002,249148-6'X8' DOVER PRIVACY PANEL,226,17312.96
021-008-FENCING,141568,249148,FW 201807,249148-6'X8' DOVER PRIVACY PANEL,223,16137.03
021-008-FENCING,141568,249148,FW 202001,249148-6'X8' DOVER PRIVACY PANEL,182,14252.81
021-008-FENCING,141568,249148,FW 201828,249148-6'X8' DOVER PRIVACY PANEL,595,44233.329999999994
021-008-FENCING,141568,249148,FW 201833,249148-6'X8' DOVER PRIVACY PANEL,218,16430.58
021-008-FENCING,141568,249148,FW 201819,249148-6'X8' DOVER PRIVACY PANEL,570,41836.01999999999
021-008-FENCING,141568,249148,FW 201811,249148-6'X8' DOVER PRIVACY PANEL,468,33915.599999999991
021-008-FENCING,141568,249148,FW 201912,249148-6'X8' DOVER PRIVACY PANEL,1249,95776.91
021-008-FENCING,141568,249148,FW 201840,249148-6'X8' DOVER PRIVACY PANEL,150,10904.29
021-008-FENCING,141568,249148,FW 202048,249148-6'X8' DOVER PRIVACY PANEL,436,33299.41
021-008-FENCING,141568,249148,FW 201946,249148-6'X8' DOVER PRIVACY PANEL,150,10668.78
021-008-FENCING,141568,249148,FW 201923,249148-6'X8' DOVER PRIVACY PANEL,1483,111636.32999999997
021-008-FENCING,141568,249148,FW 201929,249148-6'X8' DOVER PRIVACY PANEL,879,68892.109999999971
021-008-FENCING,141568,249148,FW 201844,249148-6'X8' DOVER PRIVACY PANEL,112,8575.2299999999977
021-008-FENCING,141568,249148,FW 201901,249148-6'X8' DOVER PRIVACY PANEL,62,4601.7
021-008-FENCING,141568,249148,FW 202015,249148-6'X8' DOVER PRIVACY PANEL,3367,250163.74000000005
021-008-FENCING,141568,249148,FW 201750,249148-6'X8' DOVER PRIVACY PANEL,-12,-767.77000000000044
