"SKU","SKU Nbr","Store","Store Nbr","Short Week","Sales Units","Sales $","Str OH Units Wkly"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1524-BROOMFIELD","1524","FW 202042","1","$21.98","220"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1540-HIGHLANDS RANCH","1540","FW 202048","1","$21.98","217"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1518-SW COLORADO SPRINGS","1518","FW 202038","24","$527.52","474"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1531-CASTLE ROCK","1531","FW 202042","4","$87.92","247"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1508-PARK MEADOWS","1508","FW 202031","1","$21.98","259"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1520-BEAR VALLEY","1520","FW 202039","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1524-BROOMFIELD","1524","FW 202041","2","$43.96","193"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1526-GLENDALE,CO","1526","FW 202029","","","261"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1551-NORTH AURORA","1551","FW 202024","","","264"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1503-THORNTON","1503","FW 202041","","","231"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1514-LAKEWOOD, CO","1514","FW 202025","","","256"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1550-LAKEWOOD-NORTH","1550","FW 202051","","","224"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1510-ACADEMY BLVD","1510","FW 202049","","","266"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1511-PUEBLO","1511","FW 202048","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1504-COLORADO SPRINGS","1504","FW 202026","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1516-PARKER","1516","FW 202036","","","243"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1519-LITTLETON","1519","FW 202039","","","260"
"1005559956-3/8" X 8" X 16' LP CEDAR EMBD SIDING","1005559956","1504-COLORADO SPRINGS","1504","FW 202046","","","230"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1518-SW COLORADO SPRINGS","1518","FW 202024","","","264"
"1005559955-3/8" X 8" X 16' LP EMB MAHOG SIDNG","1005559955","1522-GOLDEN","1522","FW 202030","","","264"
